,Reaction Time,Response
817,817,39
818,818,42
819,819,42
820,820,27
821,821,27
822,822,27
823,823,34
824,824,34
825,825,34
826,826,34
827,827,34
828,828,34
829,829,34
830,830,35
831,831,37
832,832,37
833,833,37
834,834,37
835,835,37
836,836,37
837,837,37
838,838,37
839,839,37
840,840,37
841,841,37
842,842,39
843,843,41
844,844,38
845,845,44
846,846,34
847,847,34
848,848,34
849,849,34
850,850,34
851,851,34
852,852,34
853,853,35
854,854,37
855,855,37
856,856,37
857,857,37
858,858,37
859,859,37
860,860,37
861,861,23
862,862,20
863,863,9
864,864,9
865,865,9
866,866,12
867,867,12
868,868,16
869,869,16
870,870,16
871,871,16
872,872,16
873,873,20
874,874,21
875,875,21
876,876,28
877,877,28
878,878,28
879,879,28
880,880,28
881,881,28
882,882,28
883,883,28
884,884,28
885,885,28
886,886,28
887,887,28
888,888,28
889,889,28
890,890,28
891,891,28
892,892,28
893,893,31
894,894,33
895,895,34
896,896,38
897,897,62
898,898,62
899,899,62
900,900,53
901,901,47
902,902,3
903,903,3
904,904,0
905,905,0
906,906,38
907,907,43
908,908,43
909,909,44
910,910,46
911,911,48
912,912,48
913,913,48
914,914,48
915,915,48
916,916,48
917,917,48
918,918,48
919,919,48
920,920,48
921,921,48
922,922,48
923,923,48
924,924,48
925,925,48
926,926,48
927,927,48
928,928,48
929,929,48
930,930,48
931,931,51
932,932,51
933,933,51
934,934,51
935,935,51
936,936,51
937,937,53
938,938,50
939,939,50
940,940,52
941,941,48
942,942,48
943,943,48
944,944,48
945,945,48
946,946,48
947,947,48
948,948,48
949,949,48
950,950,48
951,951,50
952,952,53
953,953,40
954,954,44
955,955,45
956,956,45
957,957,45
958,958,45
959,959,48
960,960,50
961,961,36
962,962,36
963,963,36
964,964,36
965,965,36
966,966,36
967,967,36
968,968,38
969,969,44
970,970,44
971,971,43
972,972,32
973,973,23
974,974,21
975,975,21
976,976,13
977,977,11
978,978,11
979,979,12
980,980,13
981,981,25
982,982,24
983,983,23
984,984,16
985,985,16
986,986,17
987,987,18
988,988,19
989,989,19
990,990,20
991,991,20
992,992,20
993,993,20
994,994,20
995,995,20
996,996,20
997,997,20
998,998,20
999,999,20
1000,1000,20
1001,1001,21
1002,1002,22
1003,1003,21
1004,1004,19
1005,1005,26
1006,1006,26
1007,1007,26
1008,1008,26
1009,1009,26
1010,1010,26
1011,1011,28
1012,1012,36
1013,1013,37
1014,1014,37
1015,1015,36
1016,1016,56
1017,1017,57
1018,1018,60
1019,1019,60
1020,1020,61
1021,1021,62
1022,1022,62
1023,1023,62
1024,1024,61
1025,1025,61
1026,1026,57
1027,1027,54
1028,1028,55
1029,1029,60
1030,1030,61
1031,1031,61
1032,1032,52
1033,1033,51
1034,1034,43
1035,1035,43
1036,1036,39
1037,1037,33
1038,1038,29
1039,1039,29
1040,1040,29
1041,1041,29
1042,1042,29
1043,1043,29
1044,1044,29
1045,1045,29
1046,1046,29
1047,1047,51
1048,1048,52
1049,1049,56
1050,1050,57
1051,1051,57
1052,1052,57
1053,1053,57
1054,1054,57
1055,1055,57
1056,1056,57
1057,1057,57
1058,1058,57
1059,1059,57
1060,1060,57
1061,1061,57
1062,1062,57
1063,1063,58
1064,1064,58
1065,1065,54
1066,1066,54
1067,1067,53
1068,1068,53
1069,1069,52
1070,1070,50
1071,1071,50
1072,1072,50
1073,1073,50
1074,1074,50
1075,1075,50
1076,1076,49
1077,1077,49
1078,1078,49
1079,1079,46
1080,1080,41
1081,1081,37
1082,1082,32
1083,1083,32
1084,1084,32
1085,1085,32
1086,1086,32
1087,1087,44
1088,1088,42
1089,1089,42
1090,1090,42
1091,1091,42
1092,1092,43
1093,1093,43
1094,1094,43
1095,1095,32
1096,1096,31
1097,1097,31
1098,1098,31
1099,1099,31
1100,1100,31
1101,1101,31
1102,1102,31
1103,1103,31
1104,1104,31
1105,1105,31
1106,1106,31
1107,1107,21
1108,1108,21
1109,1109,21
1110,1110,21
1111,1111,21
1112,1112,21
1113,1113,21
1114,1114,21
1115,1115,21
1116,1116,21
1117,1117,27
1118,1118,27
1119,1119,27
1120,1120,30
1121,1121,30
1122,1122,30
1123,1123,30
1124,1124,30
1125,1125,30
1126,1126,30
1127,1127,30
1128,1128,30
1129,1129,30
1130,1130,30
1131,1131,34
1132,1132,35
1133,1133,35
1134,1134,35
1135,1135,35
1136,1136,35
1137,1137,35
1138,1138,35
1139,1139,35
1140,1140,35
1141,1141,35
1142,1142,38
1143,1143,38
1144,1144,39
1145,1145,39
1146,1146,39
1147,1147,39
1148,1148,39
1149,1149,39
1150,1150,40
1151,1151,41
1152,1152,41
1153,1153,41
1154,1154,41
1155,1155,41
1156,1156,41
1157,1157,41
1158,1158,41
1159,1159,42
1160,1160,43
1161,1161,43
1162,1162,43
1163,1163,43
1164,1164,43
1165,1165,45
1166,1166,45
1167,1167,45
1168,1168,45
1169,1169,38
1170,1170,38
1171,1171,39
1172,1172,39
1173,1173,39
1174,1174,13
1175,1175,13
1176,1176,13
1177,1177,16
1178,1178,16
1179,1179,16
1180,1180,16
1181,1181,17
1182,1182,18
1183,1183,18
1184,1184,18
1185,1185,18
1186,1186,18
1187,1187,19
1188,1188,19
1189,1189,20
1190,1190,20
1191,1191,20
1192,1192,20
1193,1193,22
1194,1194,22
1195,1195,23
1196,1196,23
1197,1197,35
1198,1198,35
1199,1199,35
1200,1200,39
1201,1201,39
1202,1202,39
1203,1203,39
1204,1204,38
1205,1205,35
1206,1206,33
1207,1207,33
1208,1208,33
1209,1209,33
1210,1210,33
1211,1211,33
1212,1212,33
1213,1213,33
1214,1214,35
1215,1215,35
1216,1216,36
1217,1217,36
1218,1218,41
1219,1219,51
1220,1220,52
1221,1221,57
1222,1222,57
1223,1223,57
1224,1224,58
1225,1225,59
1226,1226,59
1227,1227,58
1228,1228,59
1229,1229,60
1230,1230,62
1231,1231,63
1232,1232,63
1233,1233,63
1234,1234,63
1235,1235,63
1236,1236,63
1237,1237,63
1238,1238,63
1239,1239,52
1240,1240,44
1241,1241,44
1242,1242,42
1243,1243,44
1244,1244,40
1245,1245,36
1246,1246,32
1247,1247,31
1248,1248,31
1249,1249,31
1250,1250,33
1251,1251,35
1252,1252,44
1253,1253,45
1254,1254,45
